ID,Especie,Publicacao_selecionada,Localidade,Estado,Pais,Latitude_GMS,Longitude_GMS,Latitude,Longitude,UC
101,Platyrrhinus recifinus,"Esbérard, C.E.L & Luz, J.L. et al. 2014 - Série Zoologia [online]",Parque Municipal Quinta da Boa Vista,Rio de Janeiro,Brazil,"22°54'18.7""S ","43°13'18.5""W",-22.905189,-43.2218,"Sim, o Parque Municipal Quinta da Boa Vista"
102,Myotis nigricans,"Esbérard, C.E.L & Luz, J.L. et al. 2014 - Série Zoologia [online]",Parque Municipal Quinta da Boa Vista,Rio de Janeiro,Brazil,"22°54'18.7""S ","43°13'18.5""W",-22.905189,-43.2218,"Sim, o Parque Municipal Quinta da Boa Vista"
103,Myotis cf. riparius H,"Esbérard, C.E.L & Luz, J.L. et al. 2014 - Série Zoologia [online]",Parque Municipal Quinta da Boa Vista,Rio de Janeiro,Brazil,"22°54'18.7""S ","43°13'18.5""W",-22.905189,-43.2218,"Sim, o Parque Municipal Quinta da Boa Vista"
104,Lasiurus ega,"Esbérard, C.E.L & Luz, J.L. et al. 2014 - Série Zoologia [online]",Parque Municipal Quinta da Boa Vista,Rio de Janeiro,Brazil,"22°54'18.7""S ","43°13'18.5""W",-22.905189,-43.2218,"Sim, o Parque Municipal Quinta da Boa Vista"
105,Lasiurus blosevillii,"Esbérard, C.E.L & Luz, J.L. et al. 2014 - Série Zoologia [online]",Parque Municipal Quinta da Boa Vista,Rio de Janeiro,Brazil,"22°54'18.7""S ","43°13'18.5""W",-22.905189,-43.2218,"Sim, o Parque Municipal Quinta da Boa Vista"
106,Molossus molossus,"Esbérard, C.E.L & Luz, J.L. et al. 2014 - Série Zoologia [online]",Parque Municipal Quinta da Boa Vista,Rio de Janeiro,Brazil,"22°54'18.7""S ","43°13'18.5""W",-22.905189,-43.2218,"Sim, o Parque Municipal Quinta da Boa Vista"
107,Cynomops abrasus,"Esbérard, C.E.L & Luz, J.L. et al. 2014 - Série Zoologia [online]",Parque Municipal Quinta da Boa Vista,Rio de Janeiro,Brazil,"22°54'18.7""S ","43°13'18.5""W",-22.905189,-43.2218,"Sim, o Parque Municipal Quinta da Boa Vista"
108,Nyctinomops macrotis,"Esbérard, C.E.L & Luz, J.L. et al. 2014 - Série Zoologia [online]",Parque Municipal Quinta da Boa Vista,Rio de Janeiro,Brazil,"22°54'18.7""S ","43°13'18.5""W",-22.905189,-43.2218,"Sim, o Parque Municipal Quinta da Boa Vista"
109,Didelphis albiventris,"Cutolo, A.A. & Teodoro, A.K.M. et al. 2014 - Memórias do Instituto Oswaldo Cruz [online]",Area urbana de Monte Mor,São Paulo,Brazil,"22°56'48.0""S ","47°18'57.0""W",-22.946667,-47.3158,Não
110,Caluromys philander,"Guerra, E.B. & Leite, Y.L.R. 2017 - Check List ",Área de proteção ambiental do Mestre Alvaro,Espirito Santo,Brazil,"20°10'12.3""S "," 40°18'50.3""W",-20.170085,-40.3140,"Sim, a Área de proteção ambiental do Mestre Alvaro"
111,Didelphis aurita,"Guerra, E.B. & Leite, Y.L.R. 2017 - Check List ",Área de proteção ambiental do Mestre Alvaro,Espirito Santo,Brazil,"20°10'12.3""S "," 40°18'50.3""W",-20.170085,-40.3140,"Sim, a Área de proteção ambiental do Mestre Alvaro"
112,Gracilinanus microtarsus,"Guerra, E.B. & Leite, Y.L.R. 2017 - Check List ",Área de proteção ambiental do Mestre Alvaro,Espirito Santo,Brazil,"20°10'12.3""S "," 40°18'50.3""W",-20.170085,-40.3140,"Sim, a Área de proteção ambiental do Mestre Alvaro"
113,Marmosa paraguayana,"Guerra, E.B. & Leite, Y.L.R. 2017 - Check List ",Área de proteção ambiental do Mestre Alvaro,Espirito Santo,Brazil,"20°10'12.3""S "," 40°18'50.3""W",-20.170085,-40.3140,"Sim, a Área de proteção ambiental do Mestre Alvaro"
114,Marmosops incanus,"Guerra, E.B. & Leite, Y.L.R. 2017 - Check List ",Área de proteção ambiental do Mestre Alvaro,Espirito Santo,Brazil,"20°10'12.3""S "," 40°18'50.3""W",-20.170085,-40.3140,"Sim, a Área de proteção ambiental do Mestre Alvaro"
115,Monodelphis americana,"Guerra, E.B. & Leite, Y.L.R. 2017 - Check List ",Área de proteção ambiental do Mestre Alvaro,Espirito Santo,Brazil,"20°10'12.3""S "," 40°18'50.3""W",-20.170085,-40.3140,"Sim, a Área de proteção ambiental do Mestre Alvaro"
116,Philander frenatus,"Guerra, E.B. & Leite, Y.L.R. 2017 - Check List ",Área de proteção ambiental do Mestre Alvaro,Espirito Santo,Brazil,"20°10'12.3""S "," 40°18'50.3""W",-20.170085,-40.3140,"Sim, a Área de proteção ambiental do Mestre Alvaro"
117,Bradypus torquatus Illiger,"Guerra, E.B. & Leite, Y.L.R. 2017 - Check List ",Área de proteção ambiental do Mestre Alvaro,Espirito Santo,Brazil,"20°10'12.3""S "," 40°18'50.3""W",-20.170085,-40.3140,"Sim, a Área de proteção ambiental do Mestre Alvaro"
118,Tamandua tetradactyla,"Guerra, E.B. & Leite, Y.L.R. 2017 - Check List ",Área de proteção ambiental do Mestre Alvaro,Espirito Santo,Brazil,"20°10'12.3""S "," 40°18'50.3""W",-20.170085,-40.3140,"Sim, a Área de proteção ambiental do Mestre Alvaro"
119,Dasypus novemcinctus,"Guerra, E.B. & Leite, Y.L.R. 2017 - Check List ",Área de proteção ambiental do Mestre Alvaro,Espirito Santo,Brazil,"20°10'12.3""S "," 40°18'50.3""W",-20.170085,-40.3140,"Sim, a Área de proteção ambiental do Mestre Alvaro"
120,Dasypus septemcinctus,"Guerra, E.B. & Leite, Y.L.R. 2017 - Check List ",Área de proteção ambiental do Mestre Alvaro,Espirito Santo,Brazil,"20°10'12.3""S "," 40°18'50.3""W",-20.170085,-40.3140,"Sim, a Área de proteção ambiental do Mestre Alvaro"
121,Euphractus sexcinctus,"Guerra, E.B. & Leite, Y.L.R. 2017 - Check List ",Área de proteção ambiental do Mestre Alvaro,Espirito Santo,Brazil,"20°10'12.3""S "," 40°18'50.3""W",-20.170085,-40.3140,"Sim, a Área de proteção ambiental do Mestre Alvaro"
122,Cerdocyon thous,"Guerra, E.B. & Leite, Y.L.R. 2017 - Check List ",Área de proteção ambiental do Mestre Alvaro,Espirito Santo,Brazil,"20°10'12.3""S "," 40°18'50.3""W",-20.170085,-40.3140,"Sim, a Área de proteção ambiental do Mestre Alvaro"
123,Leopardus sp.,"Guerra, E.B. & Leite, Y.L.R. 2017 - Check List ",Área de proteção ambiental do Mestre Alvaro,Espirito Santo,Brazil,"20°10'12.3""S "," 40°18'50.3""W",-20.170085,-40.3140,"Sim, a Área de proteção ambiental do Mestre Alvaro"
124,Puma concolor,"Guerra, E.B. & Leite, Y.L.R. 2017 - Check List ",Área de proteção ambiental do Mestre Alvaro,Espirito Santo,Brazil,"20°10'12.3""S "," 40°18'50.3""W",-20.170085,-40.3140,"Sim, a Área de proteção ambiental do Mestre Alvaro"
125,Puma yagouaroundi,"Guerra, E.B. & Leite, Y.L.R. 2017 - Check List ",Área de proteção ambiental do Mestre Alvaro,Espirito Santo,Brazil,"20°10'12.3""S "," 40°18'50.3""W",-20.170085,-40.3140,"Sim, a Área de proteção ambiental do Mestre Alvaro"
126,Eira barbara,"Guerra, E.B. & Leite, Y.L.R. 2017 - Check List ",Área de proteção ambiental do Mestre Alvaro,Espirito Santo,Brazil,"20°10'12.3""S "," 40°18'50.3""W",-20.170085,-40.3140,"Sim, a Área de proteção ambiental do Mestre Alvaro"
127,Lontra longicaudis,"Guerra, E.B. & Leite, Y.L.R. 2017 - Check List ",Área de proteção ambiental do Mestre Alvaro,Espirito Santo,Brazil,"20°10'12.3""S "," 40°18'50.3""W",-20.170085,-40.3140,"Sim, a Área de proteção ambiental do Mestre Alvaro"
128,Conepatus semistriatus,"Guerra, E.B. & Leite, Y.L.R. 2017 - Check List ",Área de proteção ambiental do Mestre Alvaro,Espirito Santo,Brazil,"20°10'12.3""S "," 40°18'50.3""W",-20.170085,-40.3140,"Sim, a Área de proteção ambiental do Mestre Alvaro"
129,Nasua nasua,"Guerra, E.B. & Leite, Y.L.R. 2017 - Check List ",Área de proteção ambiental do Mestre Alvaro,Espirito Santo,Brazil,"20°10'12.3""S "," 40°18'50.3""W",-20.170085,-40.3140,"Sim, a Área de proteção ambiental do Mestre Alvaro"
130,Potos flavus,"Guerra, E.B. & Leite, Y.L.R. 2017 - Check List ",Área de proteção ambiental do Mestre Alvaro,Espirito Santo,Brazil,"20°10'12.3""S "," 40°18'50.3""W",-20.170085,-40.3140,"Sim, a Área de proteção ambiental do Mestre Alvaro"
131,Procyon cancrivorus,"Guerra, E.B. & Leite, Y.L.R. 2017 - Check List ",Área de proteção ambiental do Mestre Alvaro,Espirito Santo,Brazil,"20°10'12.3""S "," 40°18'50.3""W",-20.170085,-40.3140,"Sim, a Área de proteção ambiental do Mestre Alvaro"
132,Mazama sp.,"Guerra, E.B. & Leite, Y.L.R. 2017 - Check List ",Área de proteção ambiental do Mestre Alvaro,Espirito Santo,Brazil,"20°10'12.3""S "," 40°18'50.3""W",-20.170085,-40.3140,"Sim, a Área de proteção ambiental do Mestre Alvaro"
133,Sylvilagus brasiliensis,"Guerra, E.B. & Leite, Y.L.R. 2017 - Check List ",Área de proteção ambiental do Mestre Alvaro,Espirito Santo,Brazil,"20°10'12.3""S "," 40°18'50.3""W",-20.170085,-40.3140,"Sim, a Área de proteção ambiental do Mestre Alvaro"
134,Callithrix geoffroyi,"Guerra, E.B. & Leite, Y.L.R. 2017 - Check List ",Área de proteção ambiental do Mestre Alvaro,Espirito Santo,Brazil,"20°10'12.3""S "," 40°18'50.3""W",-20.170085,-40.3140,"Sim, a Área de proteção ambiental do Mestre Alvaro"
135,Sapajus nigritus,"Guerra, E.B. & Leite, Y.L.R. 2017 - Check List ",Área de proteção ambiental do Mestre Alvaro,Espirito Santo,Brazil,"20°10'12.3""S "," 40°18'50.3""W",-20.170085,-40.3140,"Sim, a Área de proteção ambiental do Mestre Alvaro"
136,Alouatta guariba,"Guerra, E.B. & Leite, Y.L.R. 2017 - Check List ",Área de proteção ambiental do Mestre Alvaro,Espirito Santo,Brazil,"20°10'12.3""S "," 40°18'50.3""W",-20.170085,-40.3140,"Sim, a Área de proteção ambiental do Mestre Alvaro"
137,Hydrochoerus hydrochaeris,"Guerra, E.B. & Leite, Y.L.R. 2017 - Check List ",Área de proteção ambiental do Mestre Alvaro,Espirito Santo,Brazil,"20°10'12.3""S "," 40°18'50.3""W",-20.170085,-40.3140,"Sim, a Área de proteção ambiental do Mestre Alvaro"
138,Akodon cursor,"Guerra, E.B. & Leite, Y.L.R. 2017 - Check List ",Área de proteção ambiental do Mestre Alvaro,Espirito Santo,Brazil,"20°10'12.3""S "," 40°18'50.3""W",-20.170085,-40.3140,"Sim, a Área de proteção ambiental do Mestre Alvaro"
139,Nectomys squamipes,"Guerra, E.B. & Leite, Y.L.R. 2017 - Check List ",Área de proteção ambiental do Mestre Alvaro,Espirito Santo,Brazil,"20°10'12.3""S "," 40°18'50.3""W",-20.170085,-40.3140,"Sim, a Área de proteção ambiental do Mestre Alvaro"
140,Cuniculus paca,"Guerra, E.B. & Leite, Y.L.R. 2017 - Check List ",Área de proteção ambiental do Mestre Alvaro,Espirito Santo,Brazil,"20°10'12.3""S "," 40°18'50.3""W",-20.170085,-40.3140,"Sim, a Área de proteção ambiental do Mestre Alvaro"
141,Dasyprocta sp,"Guerra, E.B. & Leite, Y.L.R. 2017 - Check List ",Área de proteção ambiental do Mestre Alvaro,Espirito Santo,Brazil,"20°10'12.3""S "," 40°18'50.3""W",-20.170085,-40.3140,"Sim, a Área de proteção ambiental do Mestre Alvaro"
142,Trinomys paratus,"Guerra, E.B. & Leite, Y.L.R. 2017 - Check List ",Área de proteção ambiental do Mestre Alvaro,Espirito Santo,Brazil,"20°10'12.3""S "," 40°18'50.3""W",-20.170085,-40.3140,"Sim, a Área de proteção ambiental do Mestre Alvaro"
143,Chaetomys subspinosus,"Guerra, E.B. & Leite, Y.L.R. 2017 - Check List ",Área de proteção ambiental do Mestre Alvaro,Espirito Santo,Brazil,"20°10'12.3""S "," 40°18'50.3""W",-20.170085,-40.3140,"Sim, a Área de proteção ambiental do Mestre Alvaro"
144,Coendou sp.,"Guerra, E.B. & Leite, Y.L.R. 2017 - Check List ",Área de proteção ambiental do Mestre Alvaro,Espirito Santo,Brazil,"20°10'12.3""S "," 40°18'50.3""W",-20.170085,-40.3140,"Sim, a Área de proteção ambiental do Mestre Alvaro"
145,Guerlinguetus brasiliensis,"Guerra, E.B. & Leite, Y.L.R. 2017 - Check List ",Área de proteção ambiental do Mestre Alvaro,Espirito Santo,Brazil,"20°10'12.3""S "," 40°18'50.3""W",-20.170085,-40.3140,"Sim, a Área de proteção ambiental do Mestre Alvaro"
146,Rattus norvegicus,"Simões, R.O. & Júnior, A.M. et al. 2014 - Parasites Vectors","Zona Urbana da Trindade, município de São Gonçalo",Rio de Janeiro,Brazil,22°48’26.7”S,43°00’49.1”W,-22.807417,-43.0136,Não
147,Didelphis albiventris,"Alves, R.R.N. & Policarpo I.S. et al. 2017 - Indian Journal of Traditional Knowledge",Mata do buraquinho,Paraiba,Brazil,"7°08'43.3""S "," 34°51'35.5""W",-7.145355,-34.8599,"Sim, a Mata do buraquinho"
148,Bradypus variegatus,"Alves, R.R.N. & Policarpo I.S. et al. 2017 - Indian Journal of Traditional Knowledge",Mata do buraquinho,Paraiba,Brazil,"7°08'43.3""S "," 34°51'35.5""W",-7.145355,-34.8599,"Sim, a Mata do buraquinho"
149,Dasyprocta azarae,"Alves, R.R.N. & Policarpo I.S. et al. 2017 - Indian Journal of Traditional Knowledge",Mata do buraquinho,Paraiba,Brazil,"7°08'43.3""S "," 34°51'35.5""W",-7.145355,-34.8599,"Sim, a Mata do buraquinho"
150,Cuniculus paca,"Alves, R.R.N. & Policarpo I.S. et al. 2017 - Indian Journal of Traditional Knowledge",Mata do buraquinho,Paraiba,Brazil,"7°08'43.3""S "," 34°51'35.5""W",-7.145355,-34.8599,"Sim, a Mata do buraquinho"
151,Tamandua tetradactyla,"Alves, R.R.N. & Policarpo I.S. et al. 2017 - Indian Journal of Traditional Knowledge",Mata do buraquinho,Paraiba,Brazil,"7°08'43.3""S "," 34°51'35.5""W",-7.145355,-34.8599,"Sim, a Mata do buraquinho"
152,Callithrix jacchus,"Alves, R.R.N. & Policarpo I.S. et al. 2017 - Indian Journal of Traditional Knowledge",Mata do buraquinho,Paraiba,Brazil,"7°08'43.3""S "," 34°51'35.5""W",-7.145355,-34.8599,"Sim, a Mata do buraquinho"
153,Euphractus sexcinctus,"Alves, R.R.N. & Policarpo I.S. et al. 2017 - Indian Journal of Traditional Knowledge",Mata do buraquinho,Paraiba,Brazil,"7°08'43.3""S "," 34°51'35.5""W",-7.145355,-34.8599,"Sim, a Mata do buraquinho"
154,Tolypeutes tricinctus,"Alves, R.R.N. & Policarpo I.S. et al. 2017 - Indian Journal of Traditional Knowledge",Mata do buraquinho,Paraiba,Brazil,"7°08'43.3""S "," 34°51'35.5""W",-7.145355,-34.8599,"Sim, a Mata do buraquinho"
155,Dasypus novemcinctus,"Alves, R.R.N. & Policarpo I.S. et al. 2017 - Indian Journal of Traditional Knowledge",Mata do buraquinho,Paraiba,Brazil,"7°08'43.3""S "," 34°51'35.5""W",-7.145355,-34.8599,"Sim, a Mata do buraquinho"
156,Coendouprehensilis,"Alves, R.R.N. & Policarpo I.S. et al. 2017 - Indian Journal of Traditional Knowledge",Mata do buraquinho,Paraiba,Brazil,"7°08'43.3""S "," 34°51'35.5""W",-7.145355,-34.8599,"Sim, a Mata do buraquinho"
157,Leopardus wiedii,"Alves, R.R.N. & Policarpo I.S. et al. 2017 - Indian Journal of Traditional Knowledge",Mata do buraquinho,Paraiba,Brazil,"7°08'43.3""S "," 34°51'35.5""W",-7.145355,-34.8599,"Sim, a Mata do buraquinho"
158,Cerdocyon thous,"Alves, R.R.N. & Policarpo I.S. et al. 2017 - Indian Journal of Traditional Knowledge",Mata do buraquinho,Paraiba,Brazil,"7°08'43.3""S "," 34°51'35.5""W",-7.145355,-34.8599,"Sim, a Mata do buraquinho"
159,Cavia aperea,"Alves, R.R.N. & Policarpo I.S. et al. 2017 - Indian Journal of Traditional Knowledge",Mata do buraquinho,Paraiba,Brazil,"7°08'43.3""S "," 34°51'35.5""W",-7.145355,-34.8599,"Sim, a Mata do buraquinho"
160,Sylvilagus brasiliensis,"Alves, R.R.N. & Policarpo I.S. et al. 2017 - Indian Journal of Traditional Knowledge",Mata do buraquinho,Paraiba,Brazil,"7°08'43.3""S "," 34°51'35.5""W",-7.145355,-34.8599,"Sim, a Mata do buraquinho"
161,Procyon cancrivorus G. (Baron) Cuvier,"Alves, R.R.N. & Policarpo I.S. et al. 2017 - Indian Journal of Traditional Knowledge",Mata do buraquinho,Paraiba,Brazil,"7°08'43.3""S "," 34°51'35.5""W",-7.145355,-34.8599,"Sim, a Mata do buraquinho"
162,Didelphis aurita,"Carreira, J.C.A. & da Silva, A.V.M. et al. 2012 - Parasites Vectors",Barra de Guaratiba (,Rio de Janeiro,Brazil,"23°03'57.0""S ","43°34'00.0""W",-23.065833,-43.56667,Não
163,Didelphis albiventris ,"Sanches, V.Q.A. & de Arruda Gomes M.M. et al. 2012 - Biota Neotropica [online]",Ilha de Mutum,Mato Grosso do Sul,Brazil,"22°45'58.0""S ","53°19'13.0""W",-22.766111,-53.32028,"Sim, a Ilha de Mutum"
164,Didelphis marsupialis,"Novaes, W.G. & Grossmann N.V. et al. 2016 - Human–Wildlife Interactions",Aeroporto Internacional de Manaus,Amazonas,Brazil,"3°02'09.9""S "," 60°02'47.7""W",-3.036075,-60.046576,Não
165,Tamandua tetradactyla,"Novaes, W.G. & Grossmann N.V. et al. 2016 - Human–Wildlife Interactions",Aeroporto Internacional de Manaus,Amazonas,Brazil,"3°02'09.9""S "," 60°02'47.7""W",-3.036075,-60.046576,Não
166,Bradypus variegatus,"Novaes, W.G. & Grossmann N.V. et al. 2016 - Human–Wildlife Interactions",Aeroporto Internacional de Manaus,Amazonas,Brazil,"3°02'09.9""S "," 60°02'47.7""W",-3.036075,-60.046576,Não
167,Molossus molossus,"Barros, M.A.S. 2014 - Check List",Escola Municipal Patrícia Carla Pereira da Costa,Rio Grande do Norte,Brazil,"6°07'15.0""S","35°29'07.5""W",-6.120840,-35.48541,Não
168,Akodon cursor,"Tonelli, G.B. 2017 - PLoS ONE",Reserva Particular do Patrimônio Natural Santuário do Caraça,Minas Gerais,Brazil,"20°06'00.0""S ","43°27'00.0""W",-20.100,-43.4500,"Sim, a Reserva Particular do Patrimônio Natural Santuário do Caraça"
169,Cerradomys subflavus,"Tonelli, G.B. 2017 - PLoS ONE",Reserva Particular do Patrimônio Natural Santuário do Caraça,Minas Gerais,Brazil,"20°06'00.0""S ","43°27'00.0""W",-20.100,-43.4500,"Sim, a Reserva Particular do Patrimônio Natural Santuário do Caraça"
170,Necromys lasiurus,"Tonelli, G.B. 2017 - PLoS ONE",Reserva Particular do Patrimônio Natural Santuário do Caraça,Minas Gerais,Brazil,"20°06'00.0""S ","43°27'00.0""W",-20.100,-43.4500,"Sim, a Reserva Particular do Patrimônio Natural Santuário do Caraça"
171,Nectomys squamipes,"Tonelli, G.B. 2017 - PLoS ONE",Reserva Particular do Patrimônio Natural Santuário do Caraça,Minas Gerais,Brazil,"20°06'00.0""S ","43°27'00.0""W",-20.100,-43.4500,"Sim, a Reserva Particular do Patrimônio Natural Santuário do Caraça"
172,Oligoryzomys nigripes,"Tonelli, G.B. 2017 - PLoS ONE",Reserva Particular do Patrimônio Natural Santuário do Caraça,Minas Gerais,Brazil,"20°06'00.0""S ","43°27'00.0""W",-20.100,-43.4500,"Sim, a Reserva Particular do Patrimônio Natural Santuário do Caraça"
173,Oxymycterus dasytrichus,"Tonelli, G.B. 2017 - PLoS ONE",Reserva Particular do Patrimônio Natural Santuário do Caraça,Minas Gerais,Brazil,"20°06'00.0""S ","43°27'00.0""W",-20.100,-43.4500,"Sim, a Reserva Particular do Patrimônio Natural Santuário do Caraça"
174,Guerlinguetus ingrami,"Tonelli, G.B. 2017 - PLoS ONE",Reserva Particular do Patrimônio Natural Santuário do Caraça,Minas Gerais,Brazil,"20°06'00.0""S ","43°27'00.0""W",-20.100,-43.4500,"Sim, a Reserva Particular do Patrimônio Natural Santuário do Caraça"
175,Gracilinanus agilis,"Tonelli, G.B. 2017 - PLoS ONE",Reserva Particular do Patrimônio Natural Santuário do Caraça,Minas Gerais,Brazil,"20°06'00.0""S ","43°27'00.0""W",-20.100,-43.4500,"Sim, a Reserva Particular do Patrimônio Natural Santuário do Caraça"
176,Marmosops incanus,"Tonelli, G.B. 2017 - PLoS ONE",Reserva Particular do Patrimônio Natural Santuário do Caraça,Minas Gerais,Brazil,"20°06'00.0""S ","43°27'00.0""W",-20.100,-43.4500,"Sim, a Reserva Particular do Patrimônio Natural Santuário do Caraça"
